Date,Customer Name,Sales,Profit
01-04-2023,Finolex Industries ltd," $2,000,000.00 ",$34000
02-04-2023,CEAT LimitedGarima Global Pvt. Ltd," $5,000,000.00 ",$41230
03-04-2023,Nilkamal Limited," $6,000,000.00 ",$29150
04-04-2023,Tata Steel Limited," $4,000,000.00 ",$50460
05-04-2023,The Supreme Industries Limited," $8,500,000.00 ",$47200
06-04-2023,Sun?ag Iron And Steel Company Limited," $9,500,000.00 ",$46130
07-04-2023,Tech Mahindra Limited," $5,500,000.00 ",$73280
08-04-2023,Privi Organics Limited," $6,500,000.00 ",$156000
09-04-2023,NHC Food Limited," $7,800,000.00 ",$210000
10-04-2023,Dorf Ketal Chemicals," $3,500,000.00 ",$78650
