Date,Customer Name,Sales,Profit
01-07-2023,Finolex Industries ltd,"$2,000,000.00 ",$897500
02-07-2023,CEAT LimitedGarima Global Pvt. Ltd,"$5,000,000.00 ",$478962
03-07-2023,Nilkamal Limited,"$6,000,000.00 ",$568130
04-07-2023,Tata Steel Limited,"$4,000,000.00 ",$569780
05-07-2023,The Supreme Industries Limited,"$8,500,000.00 ",$364199
06-07-2023,Sun?ag Iron And Steel Company Limited,"$9,500,000.00 ",$618900
07-07-2023,Tech Mahindra Limited,"$5,500,000.00 ",$516111
08-07-2023,Privi Organics Limited,"$6,500,000.00 ",$491340
09-07-2023,NHC Food Limited,"$7,800,000.00 ",$916840
10-07-2023,Dorf Ketal Chemicals,"$3,500,000.00 ",$916700
