Date,Customer Name,Sales,Profit
01-06-2023,Finolex Industries ltd,"$2,000,000.00 ",$319849
02-06-2023,CEAT LimitedGarima Global Pvt. Ltd,"$5,000,000.00 ",$317999
03-06-2023,Nilkamal Limited,"$6,000,000.00 ",$486000
04-06-2023,Tata Steel Limited,"$4,000,000.00 ",$749500
05-06-2023,The Supreme Industries Limited,"$8,500,000.00 ",$654780
06-06-2023,Sun?ag Iron And Steel Company Limited,"$9,500,000.00 ",$100050
07-06-2023,Tech Mahindra Limited,"$5,500,000.00 ",$464850
08-06-2023,Privi Organics Limited,"$6,500,000.00 ",$716900
09-06-2023,NHC Food Limited,"$7,800,000.00 ",$816990
10-06-2023,Dorf Ketal Chemicals,"$3,500,000.00 ",$912000
