Date,Customer Name,Sales,Profit
01-05-2023,Finolex Industries ltd,"$2,000,000.00 ",$498700
02-05-2023,CEAT LimitedGarima Global Pvt. Ltd,"$5,000,000.00 ",$561200
03-05-2023,Nilkamal Limited,"$6,000,000.00 ",$845600
04-05-2023,Tata Steel Limited,"$4,000,000.00 ",$201870
05-05-2023,The Supreme Industries Limited,"$8,500,000.00 ",$298710
06-05-2023,Sun?ag Iron And Steel Company Limited,"$9,500,000.00 ",$354980
07-05-2023,Tech Mahindra Limited,"$5,500,000.00 ",$419403
08-05-2023,Privi Organics Limited,"$6,500,000.00 ",$786110
09-05-2023,NHC Food Limited,"$7,800,000.00 ",$869100
10-05-2023,Dorf Ketal Chemicals,"$3,500,000.00 ",$197100
