Date,Customer Name,Sales,Profit
15-11-2023,Finolex Industries ltd," $2,000,000.00 ",$716661
16-11-2023,CEAT LimitedGarima Global Pvt. Ltd," $5,000,000.00 ",$498090
17-11-2023,Nilkamal Limited," $6,000,000.00 ",$320610
18-11-2023,Tata Steel Limited," $4,000,000.00 ",$119680
19-11-2023,The Supreme Industries Limited," $8,500,000.00 ",$611530
20-11-2023,Sun?ag Iron And Steel Company Limited," $9,500,000.00 ",$816341
21-11-2023,Tech Mahindra Limited," $5,500,000.00 ",$493400
22-11-2023,Privi Organics Limited," $6,500,000.00 ",$791030
23-11-2023,NHC Food Limited," $7,800,000.00 ",$555606
24-11-2023,Dorf Ketal Chemicals," $3,500,000.00 ",$861840
