Date,Customer Name,Sales,Profit
10-10-2023,Finolex Industries ltd," $2,000,000.00 ",$631910
11-10-2023,CEAT LimitedGarima Global Pvt. Ltd," $5,000,000.00 ",$841440
12-10-2023,Nilkamal Limited," $6,000,000.00 ",$453005
13-10-2023,Tata Steel Limited," $4,000,000.00 ",$331810
14-10-2023,The Supreme Industries Limited," $8,500,000.00 ",$453005
15-10-2023,Sun?ag Iron And Steel Company Limited," $9,500,000.00 ",$453005
16-10-2023,Tech Mahindra Limited," $5,500,000.00 ",$331810
17-10-2023,Privi Organics Limited," $6,500,000.00 ",$791000
18-10-2023,NHC Food Limited," $7,800,000.00 ",$453005
19-10-2023,Dorf Ketal Chemicals," $3,500,000.00 ",$391810
