Date,Customer Name,Sales,Profit
01-09-2023,Finolex Industries ltd," $2,000,000.00 ",$409050
02-09-2023,CEAT LimitedGarima Global Pvt. Ltd," $5,000,000.00 ",$412000
03-09-2023,Nilkamal Limited," $6,000,000.00 ",$391650
04-09-2023,Tata Steel Limited," $4,000,000.00 ",$790040
05-09-2023,The Supreme Industries Limited," $8,500,000.00 ",$594090
06-09-2023,Sun?ag Iron And Steel Company Limited," $9,500,000.00 ",$990400
07-09-2023,Tech Mahindra Limited," $5,500,000.00 ",$793040
08-09-2023,Privi Organics Limited," $6,500,000.00 ",$414800
09-09-2023,NHC Food Limited," $7,800,000.00 ",$251864
10-09-2023,Dorf Ketal Chemicals," $3,500,000.00 ",$198979
