Date,Customer Name,Sales,Profit
15-11-2023,Finolex Industries ltd," $2,000,000.00 ",$354180
16-11-2023,CEAT LimitedGarima Global Pvt. Ltd," $5,000,000.00 ",$917841
17-11-2023,Nilkamal Limited," $6,000,000.00 ",$651234
18-11-2023,Tata Steel Limited," $4,000,000.00 ",$189750
19-11-2023,The Supreme Industries Limited," $8,500,000.00 ",$756421
20-11-2023,Sun?ag Iron And Steel Company Limited," $9,500,000.00 ",$916941
21-11-2023,Tech Mahindra Limited," $5,500,000.00 ",$341684
22-11-2023,Privi Organics Limited," $6,500,000.00 ",$496614
23-11-2023,NHC Food Limited," $7,800,000.00 ",$549141
24-11-2023,Dorf Ketal Chemicals," $3,500,000.00 ",$694164
